,replicable_funds,un_replicable_funds
2015-03-31 00:00:00.005,"[000173.OF, 002001.OF, 000003.OF, 000041.OF, 020012.OF, 020002.OF, 001003.OF, 001001.OF]","[003003.OF, 001058.OF, 001057.OF, 000089.OF, 001077.OF, 000090.OF, 000198.OF, 000037.OF]"
2015-04-30 00:00:00.005,"[000004.OF, 002001.OF, 000041.OF, 000093.OF, 000083.OF, 020012.OF, 020002.OF, 001003.OF, 001001.OF]","[003003.OF, 000089.OF, 001058.OF, 001057.OF, 000090.OF, 001077.OF, 000198.OF, 000037.OF, 020007.OF]"
2015-05-29 00:00:00.005,"[000219.OF, 002001.OF, 000041.OF, 000004.OF, 000003.OF, 000053.OF, 000093.OF, 020012.OF, 020002.OF, 001003.OF, 001001.OF]","[000089.OF, 003003.OF, 001058.OF, 001057.OF, 000090.OF, 000198.OF, 000037.OF, 001077.OF, 000038.OF, 020007.OF, 000211.OF]"
2015-06-30 00:00:00.005,"[000071.OF, 000219.OF, 000149.OF, 000004.OF, 000003.OF, 000041.OF, 000150.OF, 000053.OF, 000093.OF, 020012.OF, 020002.OF, 001003.OF, 001001.OF]","[000089.OF, 000198.OF, 003003.OF, 001058.OF, 000037.OF, 001057.OF, 000090.OF, 001077.OF, 000038.OF, 000211.OF, 000210.OF, 000330.OF, 020007.OF]"
2015-07-31 00:00:00.005,"[000044.OF, 000022.OF, 000053.OF, 000043.OF, 000370.OF, 000023.OF, 000088.OF, 000041.OF, 000087.OF, 000150.OF, 020012.OF, 020002.OF, 001011.OF, 001003.OF, 001001.OF, 000149.OF]","[000089.OF, 000198.OF, 003003.OF, 000037.OF, 001057.OF, 000090.OF, 001058.OF, 000211.OF, 000210.OF, 000038.OF, 000330.OF, 000204.OF, 000203.OF, 000389.OF, 000353.OF, 000371.OF]"
2015-08-31 00:00:00.005,"[000083.OF, 000075.OF, 000076.OF, 000023.OF, 000053.OF, 000071.OF, 000369.OF, 000370.OF, 000173.OF, 000149.OF, 000150.OF, 000316.OF, 000087.OF, 000088.OF, 020012.OF, 020002.OF, 001011.OF, 001003.OF, 001001.OF]","[000089.OF, 000198.OF, 003003.OF, 000037.OF, 001057.OF, 000211.OF, 000210.OF, 000090.OF, 000330.OF, 000389.OF, 000038.OF, 001058.OF, 000353.OF, 000371.OF, 000204.OF, 000203.OF, 020007.OF, 000379.OF, 000397.OF]"
2015-09-30 00:00:00.005,"[000471.OF, 000309.OF, 000149.OF, 000088.OF, 000219.OF, 000150.OF, 000316.OF, 000083.OF, 000390.OF, 000173.OF, 020012.OF, 020002.OF, 001011.OF, 001003.OF, 001001.OF, 001065.OF, 001066.OF, 000048.OF, 000125.OF, 000225.OF, 000268.OF]","[000211.OF, 000210.OF, 000089.OF, 000198.OF, 003003.OF, 000330.OF, 000037.OF, 001057.OF, 000389.OF, 000090.OF, 000353.OF, 000371.OF, 000038.OF, 000204.OF, 000379.OF, 000397.OF, 001058.OF, 000203.OF, 000464.OF, 020007.OF, 000484.OF]"
2015-10-30 00:00:00.005,"[000370.OF, 000075.OF, 000076.OF, 000219.OF, 000071.OF, 000316.OF, 000390.OF, 000083.OF, 020012.OF, 020002.OF, 001011.OF, 001013.OF, 001003.OF, 001001.OF, 001065.OF, 001066.OF, 000048.OF, 000125.OF, 000225.OF, 000268.OF, 000295.OF, 000206.OF]","[000389.OF, 000211.OF, 000089.OF, 000210.OF, 003003.OF, 000353.OF, 000198.OF, 000330.OF, 000371.OF, 000037.OF, 001057.OF, 000090.OF, 000379.OF, 000397.OF, 000038.OF, 000464.OF, 000204.OF, 000484.OF, 000203.OF, 000483.OF, 000509.OF, 001058.OF]"
2015-11-30 00:00:00.005,"[000264.OF, 000370.OF, 000083.OF, 000219.OF, 000316.OF, 000075.OF, 000076.OF, 000087.OF, 000593.OF, 000088.OF, 000071.OF, 000173.OF, 000390.OF, 020012.OF, 020002.OF, 001011.OF, 001013.OF, 001003.OF, 001001.OF, 001065.OF, 001066.OF, 000065.OF, 000048.OF, 000125.OF, 000149.OF, 000166.OF, 000206.OF]","[000389.OF, 000211.OF, 000089.OF, 000210.OF, 003003.OF, 000353.OF, 000198.OF, 000330.OF, 000371.OF, 000037.OF, 000343.OF, 001057.OF, 000397.OF, 000379.OF, 000090.OF, 000359.OF, 000464.OF, 000484.OF, 000483.OF, 000509.OF, 000038.OF, 000506.OF, 000325.OF, 000505.OF, 000324.OF, 000204.OF, 000575.OF]"
2015-12-31 00:00:00.005,"[020012.OF, 020002.OF, 001011.OF, 001013.OF, 001003.OF, 001001.OF, 001065.OF, 001066.OF, 000065.OF, 000048.OF, 000150.OF, 000125.OF, 000149.OF, 000060.OF, 000225.OF, 000268.OF, 000295.OF, 000316.OF, 000206.OF, 000074.OF, 000111.OF, 000137.OF, 000212.OF, 000237.OF, 000238.OF, 000267.OF, 000351.OF, 000352.OF, 000372.OF]","[000397.OF, 000379.OF, 000389.OF, 000089.OF, 000211.OF, 003003.OF, 000353.OF, 000210.OF, 000198.OF, 000330.OF, 000371.OF, 000464.OF, 000037.OF, 000343.OF, 001057.OF, 000090.OF, 000359.OF, 000484.OF, 000509.OF, 000483.OF, 000506.OF, 000505.OF, 000575.OF, 000038.OF, 000425.OF, 000325.OF, 000476.OF, 000588.OF, 000424.OF]"
2016-01-29 00:00:00.005,"[020002.OF, 001011.OF, 001013.OF, 001003.OF, 001001.OF, 001065.OF, 001066.OF, 000065.OF, 000048.OF, 000150.OF, 000125.OF, 000149.OF, 000060.OF, 000225.OF, 000295.OF, 000296.OF, 000316.OF, 000206.OF, 000293.OF, 000079.OF, 000227.OF, 000074.OF, 000137.OF, 000212.OF, 000237.OF, 000238.OF, 000267.OF, 000318.OF, 000351.OF, 000372.OF, 000400.OF, 000310.OF]","[000397.OF, 000089.OF, 000389.OF, 000379.OF, 000211.OF, 003003.OF, 000353.OF, 000210.OF, 000198.OF, 000509.OF, 000330.OF, 000371.OF, 000464.OF, 000037.OF, 000506.OF, 000505.OF, 000090.OF, 000343.OF, 001057.OF, 000359.OF, 000484.OF, 000038.OF, 000575.OF, 000483.OF, 000476.OF, 000588.OF, 000475.OF, 000543.OF, 000439.OF, 000542.OF, 000539.OF, 000425.OF]"
2016-02-29 00:00:00.005,"[000022.OF, 000023.OF, 000531.OF, 020012.OF, 020002.OF, 001011.OF, 001013.OF, 001003.OF, 001001.OF, 001065.OF, 001066.OF, 000065.OF, 000048.OF, 000125.OF, 000149.OF, 000060.OF, 000225.OF, 000295.OF, 000296.OF, 000316.OF, 000206.OF, 000293.OF, 000079.OF, 000227.OF, 000074.OF, 000137.OF, 000237.OF, 000238.OF, 000267.OF, 000318.OF, 000351.OF, 000372.OF, 000400.OF, 000310.OF]","[000089.OF, 000389.OF, 000397.OF, 000509.OF, 000211.OF, 000379.OF, 003003.OF, 000353.OF, 000210.OF, 000198.OF, 000038.OF, 000464.OF, 000330.OF, 000575.OF, 000371.OF, 000037.OF, 000506.OF, 000505.OF, 000090.OF, 001057.OF, 000343.OF, 000359.OF, 000588.OF, 000484.OF, 000483.OF, 000543.OF, 000476.OF, 000542.OF, 000475.OF, 000539.OF, 000439.OF, 000425.OF, 000599.OF, 000607.OF]"
