,return,volatility,sharpe,skewness,kurtosis
2014-09-30 00:00:00.005,0.488129450067,0.932382125669,0.524334513728,0.00180571302785,-0.268580995303
2014-10-31 00:00:00.005,0.435143793316,0.896065694441,0.48516367892,0.0725199333154,-0.00925508634235
2014-11-28 00:00:00.005,0.438360900567,0.931878462282,0.470999910199,0.0795763351705,-0.260447903006
2014-12-31 00:00:00.005,0.43432606362,0.942846697251,0.461081844382,0.164309097857,-0.209695994093
2015-01-30 00:00:00.005,0.457827905858,0.984651066887,0.464049156032,0.264110190954,-0.0663632919251
2015-02-27 00:00:00.005,0.454839025277,1.02418020466,0.445316052491,0.232229541962,0.004285754475
2015-03-31 00:00:00.005,0.390372550444,0.935593202479,0.417919927787,0.111370783116,0.155329497989
2015-04-30 00:00:00.005,0.397606931427,0.939616615263,0.420898635313,-0.0389898858497,0.00915525743007
2015-05-29 00:00:00.005,0.470821962015,0.955998422331,0.492696629128,-0.0296169544806,0.178393347761
2015-06-30 00:00:00.005,0.561807023993,0.914326541151,0.615325063143,-0.010679101143,0.403019833382
2015-07-31 00:00:00.005,0.742109766128,1.26859512291,0.584118014126,1.11308851874,3.29823508351
2015-08-31 00:00:00.005,0.662875066498,1.312383654,0.504940159015,1.23300313842,4.10150839872
2015-09-30 00:00:00.005,0.633974638138,1.39581375585,0.455504070124,1.00870536398,3.9165356614
2015-10-30 00:00:00.005,0.608786278051,1.38205177603,0.441284013356,1.24794331656,4.55817527742
2015-11-30 00:00:00.005,0.679158437551,1.31649862908,0.518022190349,1.21893768888,4.54235519367
2015-12-31 00:00:00.005,0.691020192506,1.33762722912,0.519135312405,1.30506082952,4.79759261963
2016-01-29 00:00:00.005,0.614772127066,1.38063621809,0.446562597812,1.25481402139,4.3401934675
2016-02-29 00:00:00.005,0.752213692455,1.42264858414,0.53017943403,1.16182899627,3.23188024007
2016-03-31 00:00:00.005,0.58114487968,1.66921762658,0.34959297889,0.891710628797,3.51123574739
2016-04-29 00:00:00.005,0.593615189426,1.66225705757,0.358940169513,0.756838360129,3.45624658515
2016-05-31 00:00:00.005,0.581321239492,1.67689899407,0.348847521916,0.803279467707,3.43215195222
2016-06-30 00:00:00.005,0.699322377318,1.74267576013,0.403776098855,0.649238575121,2.51931937963
2016-07-29 00:00:00.005,0.659278425139,1.72346504548,0.383519830871,0.673404854048,2.51553267752
2016-08-31 00:00:00.005,0.619675598616,1.7537945026,0.353844485176,0.744402578048,2.41983087915
2016-09-30 00:00:00.005,0.585148153402,1.77677527142,0.330135579009,0.85143906445,2.48598431944
2016-10-31 00:00:00.005,0.585179376941,1.7583840565,0.334117565816,0.859858139352,2.58635642536
2016-11-30 00:00:00.005,0.572172794329,1.79275742479,0.320729560966,0.810097295315,2.4328180467
2016-12-30 00:00:00.005,0.511436491058,1.83511605401,0.279025782614,0.849624157381,2.54301953044
