,wind_code
526,XT1522938.XT
527,XT1523015.XT
528,XT1523156.XT
529,XT1523158.XT
530,XT1523159.XT
531,XT1523160.XT
532,XT1523210.XT
533,XT1523221.XT
534,XT1523356.XT
535,XT1523357.XT
536,XT1523618.XT
537,XT1523639.XT
538,XT1523643.XT
539,XT1523645.XT
540,XT1523717.XT
541,XT1523797.XT
542,XT1523868.XT
543,XT1523916.XT
544,XT1524000.XT
545,XT1524048.XT
546,XT1524065.XT
547,XT1524167.XT
548,XT1524232.XT
549,XT1524381.XT
550,XT1525030.XT
551,XT1525041.XT
552,XT1525205.XT
553,XT1525331.XT
554,XT1525341.XT
555,XT1525576.XT
556,XT1525798.XT
557,XT1525873.XT
558,XT1526005.XT
559,XT1526026.XT
560,XT1526536.XT
561,XT1526537.XT
562,XT1526878.XT
563,XT1600031.XT
564,XT1600104.XT
565,XT1600180.XT
566,XT1600284.XT
567,XT1600533.XT
568,XT1600668.XT
569,XT1600865.XT
570,XT1600894.XT
571,XT1600900.XT
572,XT1600914.XT
573,XT1600946.XT
574,XT1600974.XT
575,XT1600975.XT
576,XT1600986.XT
577,XT1600989.XT
578,XT1601165.XT
579,XT1601226.XT
580,XT1601245.XT
581,XT1601288.XT
582,XT1601374.XT
583,XT1601393.XT
584,XT1601404.XT
585,XT1601461.XT
586,XT1601526.XT
587,XT1601528.XT
588,XT1601533.XT
589,XT1601536.XT
590,XT1601537.XT
591,XT1601538.XT
592,XT1601540.XT
593,XT1601560.XT
594,XT1601566.XT
595,XT1601619.XT
596,XT1601620.XT
597,XT1601686.XT
598,XT1601697.XT
599,XT1601715.XT
600,XT1601717.XT
601,XT1601744.XT
602,XT1601778.XT
603,XT1601840.XT
604,XT1601870.XT
605,XT1602123.XT
606,XT1602266.XT
607,XT1602343.XT
608,XT1602475.XT
609,XT1602476.XT
610,XT1602540.XT
611,XT1602563.XT
612,XT1602701.XT
613,XT1602771.XT
614,XT1602778.XT
615,XT1602878.XT
616,XT1603248.XT
617,XT1603256.XT
618,XT1603273.XT
619,XT1603304.XT
620,XT1603353.XT
621,XT1603365.XT
622,XT1603408.XT
623,XT1603511.XT
624,XT1603549.XT
625,XT1603656.XT
626,XT1603729.XT
627,XT1603730.XT
628,XT1603731.XT
629,XT1603742.XT
630,XT1603776.XT
631,XT1603805.XT
632,XT1603806.XT
633,XT1603807.XT
634,XT1603808.XT
635,XT1603809.XT
636,XT1603829.XT
637,XT1603848.XT
638,XT1603864.XT
639,XT1603865.XT
640,XT1603866.XT
641,XT1603870.XT
642,XT1603895.XT
643,XT1603978.XT
644,XT1604028.XT
645,XT1604042.XT
646,XT1604085.XT
647,XT1604158.XT
648,XT1604250.XT
649,XT1604285.XT
650,XT1604310.XT
